word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
designer,/dɪˈzaɪ.nər/,A person who plans how things will look.,デザイナー・設計者,She wants to be a fashion designer.,The designer made a beautiful dress.,He is a famous designer.
look at,/lʊk æt/,To direct your eyes toward something.,～を見る,Look at this picture.,She looked at the sky.,Please look at the blackboard.
listen to,/ˈlɪs.ən tuː/,To pay attention to sounds.,～を聞く・聴く,I listen to music every day.,Listen to the teacher carefully.,She listens to the radio.
on TV,/ɒn ˌtiːˈviː/,Shown on television.,テレビで,I saw the game on TV.,There is a good show on TV tonight.,She watched a movie on TV.
hot dog,/hɒt dɒɡ/,A sausage in a long bread roll.,ホットドッグ,I ate a hot dog at the park.,She likes hot dogs with ketchup.,Let's buy a hot dog.
remember,/rɪˈmem.bər/,To keep something in your mind.,覚えている・思い出す,Do you remember his name?,I remember that day clearly.,Please remember to bring your book.
wrestling,/ˈres.lɪŋ/,A sport where two people try to push each other down.,レスリング,He likes watching wrestling.,Wrestling is a popular sport.,She is good at wrestling.
go for a drive,/ɡəʊ fɔːr ə draɪv/,To take a trip in a car for fun.,ドライブに行く,Let's go for a drive on Sunday.,They went for a drive along the coast.,He likes to go for a drive.
barber,/ˈbɑː.bər/,A person who cuts men's hair.,理髪師・床屋,I went to the barber yesterday.,The barber cut my hair short.,There is a barber near my house.
ice skating,/aɪs ˈskeɪ.tɪŋ/,Sliding on ice wearing special shoes.,アイススケート,We went ice skating last winter.,I like ice skating.,She is very good at ice skating.
flea market,/fliː ˈmɑː.kɪt/,An outdoor market selling used goods.,のみの市・フリーマーケット,We found a book at the flea market.,The flea market has many cheap things.,Let's go to the flea market on Sunday.
in front of,/ɪn frʌnt ɒv/,In a position before or ahead of.,～の前に・で,We met in front of the station.,There is a big tree in front of our house.,Don't park your bicycle in front of the door.
maple,/ˈmeɪ.pəl/,A type of tree with wide leaves.,カエデ・もみじ,The maple leaves are beautiful in autumn.,Maple trees turn red in fall.,We saw many maple trees.
before,/bɪˈfɔːr/,Earlier than a particular time.,～の前に,Wash your hands before eating.,I have never been there before.,She arrived before me.
champion,/ˈtʃæm.pi.ən/,A person who wins a competition.,優勝者・チャンピオン,She is the tennis champion.,The champion held up the trophy.,He became the world champion.
hurry up,/ˈhʌr.i ʌp/,To do something more quickly.,急ぐ,Hurry up or we will miss the bus.,She told me to hurry up.,Hurry up! We are late.
a couple of,/ə ˈkʌp.əl ɒv/,A small number of.,２・３の～・いくつかの～,I spent a couple of days in Kyoto.,We bought a couple of apples.,I have a couple of questions.
grandmother,/ˈɡrænd.mʌð.ər/,The mother of your father or mother.,祖母・おばあさん,My grandmother makes great cookies.,I visit my grandmother every month.,Grandmother taught me how to cook.
into,/ˈɪn.tuː/,Moving to the inside of something.,～の中へ,She walked into the room.,He jumped into the pool.,I put the book into my bag.
Japanese,/ˌdʒæp.əˈniːz/,Relating to Japan or its people.,日本人・日本語・国語,She is studying Japanese.,I am Japanese.,Japanese food is healthy.
last night,/lɑːst naɪt/,The night before today.,昨夜,I slept well last night.,We watched a movie last night.,What did you do last night?
until,/ʌnˈtɪl/,Up to a certain time.,～まで（ずっと）,I will wait until five o'clock.,The store is open until nine.,She studied until midnight.
thousand,/ˈθaʊ.zənd/,The number 1000.,１０００,There are a thousand students.,The book costs two thousand yen.,She ran a thousand meters.
stranger,/ˈstreɪn.dʒər/,A person you do not know.,見知らぬ人,Don't talk to strangers.,A kind stranger helped me.,She smiled at the stranger.
a little,/ə ˈlɪt.əl/,A small amount.,少し・少しの,I am a little tired today.,Would you like a little water?,She speaks English a little.
a lot of,/ə lɒt ɒv/,A large number or amount of.,たくさんの,There are a lot of flowers in the garden.,I have a lot of books.,We ate a lot of delicious food.
at work,/æt wɜːk/,At your job or workplace.,職場で・会社で,My father is at work now.,She is busy at work today.,I cannot answer the phone at work.
look like,/lʊk laɪk/,To have a similar appearance.,～のように見える,The baby looks like her mother.,This cloud looks like a dog.,You look like your father.
right now,/raɪt naʊ/,At this very moment.,たった今・今現在,I am doing my homework right now.,Please come home right now.,The bus is coming right now.
(be) different from,/biː ˈdɪf.ər.ənt frɒm/,Not the same as.,～と違う・～と異なる,My bag is different from yours.,Japanese schools are different from American schools.,This game is different from that one.
of course,/ɒv kɔːs/,Certainly or naturally.,もちろん・当然,Of course I can help you.,Of course she will join us.,Can you swim? Of course!
(be) kind to,/biː kaɪnd tuː/,To treat someone in a friendly way.,～に親切にする・～に優しくする,We should be kind to animals.,Our teacher is very kind to us.,Please be kind to the new student.
look around,/lʊk əˈraʊnd/,To look at many things in a place.,見て回る・周りを見回す,Let's look around the new store.,She looked around the room.,I like to look around when I travel.
do the dishes,/duː ðə ˈdɪʃ.ɪz/,To wash the plates and cups.,皿洗いをする,I usually do the dishes after dinner.,She is doing the dishes now.,Can you help me do the dishes?
problem,/ˈprɒb.ləm/,Something difficult that needs to be solved.,問題,This math problem is hard.,No problem!,She solved the problem quickly.
(be) interested in,/biː ˈɪn.trəs.tɪd ɪn/,To want to know more about something.,～に興味がある,I am interested in Japanese history.,She is interested in music.,Are you interested in sports?
the other day,/ðə ˈʌð.ər deɪ/,A few days ago.,先日,I saw her the other day.,We met the other day at the park.,I found an old photo the other day.
next week,/nekst wiːk/,The week after this one.,来週,We have a math test next week.,I am going to visit my uncle next week.,What will you do next week?
last year,/lɑːst jɪər/,The year before this one.,去年,I was in elementary school last year.,We went to Tokyo last year.,She started learning English last year.
this month,/ðɪs mʌnθ/,The current month.,今月,It is very hot this month.,I am reading three books this month.,We have a school festival this month.
midnight,/ˈmɪd.naɪt/,Twelve o'clock at night.,夜の12時・午前0時,The clock struck midnight.,I went to bed before midnight.,She stayed up until midnight.
in,/ɪn/,Inside something or during a time period.,（時間・期間）～に,I will be there in five minutes.,She was born in April.,He came home in the evening.
by,/baɪ/,Not later than a certain time.,（期限）までに,Please finish it by Friday.,I go to school by bus.,She stood by the door.
yet,/jet/,Up to this time.,まだ,Have you finished yet?,She has not come yet.,I have not eaten yet.
get ready,/ɡet ˈred.i/,To prepare for something.,用意・準備をする,Please get ready for school.,I am getting ready to go out.,Get ready! We are leaving soon.
take off,/teɪk ɒf/,To remove clothing.,～を脱ぐ,Please take off your shoes here.,He took off his coat.,Take off your hat in the house.
pay for,/peɪ fɔːr/,To give money in exchange for something.,～の代金を支払う,I will pay for the ice cream.,How much did you pay for this book?,Let me pay for the lunch.
grow up,/ɡrəʊ ʌp/,To become an adult.,成長する・大人になる,I want to be a teacher when I grow up.,She grew up in a small town.,Where did you grow up?
sit down,/sɪt daʊn/,To take a seat.,着席する・座る,Please sit down on the chair.,He sat down and began to read.,Let's sit down under the tree.
get to,/ɡet tuː/,To arrive at a place.,～に到着する,How can I get to the library?,We got to the station at nine.,What time did you get to school?
come from,/kʌm frɒm/,To have been born in a place.,～出身だ,I come from Kyoto.,Where do you come from?,These apples come from Aomori.
(be) afraid of,/biː əˈfreɪd ɒv/,To feel fear about something.,～を恐れる・～を怖がる,I am afraid of snakes.,She is afraid of dark rooms.,Don't be afraid of making mistakes.
come in,/kʌm ɪn/,To enter a room or building.,中に入る・入ってくる,Please come in and sit down.,"May I come in? Yes, please.",She came in through the back door.
get together,/ɡet təˈɡeð.ər/,To meet or gather in a group.,集まる,Let's get together this weekend.,We got together at the park.,They get together every month.
(be) late for,/biː leɪt fɔːr/,To arrive after the expected time.,～に遅れる,Don't be late for school.,She was late for the meeting.,I am never late for class.
get off,/ɡet ɒf/,To leave a bus or train.,（バス・電車などから）降りる,Get off at the next stop.,She got off the bus at the station.,Please get off here.
wake up,/weɪk ʌp/,To stop sleeping.,起きる・目を覚ます,I wake up at six every day.,Wake up! It is morning.,She woke up early today.
first of all,/fɜːst əv ɔːl/,Before anything else.,まず最初に,"First of all, let me say thank you.","First of all, open your textbook.","First of all, wash your hands."
do one's best,/duː wʌnz best/,To try as hard as you can.,最善を尽くす,I will do my best on the test.,She always does her best.,Just do your best!
ago,/əˈɡəʊ/,In the past before now.,（時間）前に,I came here three years ago.,She moved here a month ago.,A long time ago there was a king.
take a look at,/teɪk ə lʊk æt/,To look at something quickly.,～を見る,Please take a look at this.,Take a look at the map.,She took a look at my drawing.
for a while,/fɔːr ə waɪl/,For a short period of time.,しばらくの間,Please wait for a while.,She studied English for a while.,Let's rest for a while.
a pair of,/ə peər ɒv/,Two items that go together.,一組の～・一対の～,I bought a pair of shoes.,She needs a pair of scissors.,He wore a new pair of socks.
in time,/ɪn taɪm/,Not too late.,間に合って・遅れずに,We arrived in time for the movie.,I hope we get there in time.,She finished the report in time.
for a moment,/fɔːr ə ˈməʊ.mənt/,For a very short time.,少しの間・一瞬,Please wait for a moment.,She stopped for a moment.,I thought about it for a moment.
at the same time,/æt ðə seɪm taɪm/,Happening together.,同時に,They arrived at the same time.,She cannot do two things at the same time.,We laughed at the same time.
get out of,/ɡet aʊt ɒv/,To leave or exit from something.,～から外へ出る,Get out of the car carefully.,She got out of the pool.,Please get out of the room.
in the future,/ɪn ðə ˈfjuː.tʃər/,At a time that will come.,将来は,I want to visit America in the future.,What do you want to be in the future?,She will study French in the future.
not at all,/nɒt æt ɔːl/,Not in any way.,全く～ない・全然,He is not at all tired.,The test was not at all difficult.,Thank you very much. Not at all!
move to,/muːv tuː/,To go to live in a new place.,～へ引っ越す,My family will move to Tokyo next month.,I want to move to a bigger room.,They moved to a new house.
someday,/ˈsʌm.deɪ/,At a time in the future.,いつか・そのうち,I want to visit Canada someday.,We will meet again someday.,She wants to be a pilot someday.
how long,/haʊ lɒŋ/,Used to ask about duration.,どれくらいの時間・期間,How long is the train trip?,How long do you study every day?,How long did you stay in Tokyo?
away,/əˈweɪ/,At a distance from a place.,離れて・不在で,The station is far away.,He is away today.,Please go away.
try,/traɪ/,To make an effort to do something.,試す・～してみる,Let's try again.,She tried her best.,I want to try Japanese food.
know,/nəʊ/,To have information about something.,知っている・分かっている,I know the answer.,Do you know her name?,She knows a lot about history.
mom,/mɒm/,A word for mother used in conversation.,（会話で）お母さん,My mom is a nurse.,I helped my mom cook dinner.,Mom always smiles at me.
(be) good at,/biː ɡʊd æt/,To have skill in something.,～が得意だ,I am good at playing soccer.,She is very good at English.,Are you good at cooking?
angry,/ˈæŋ.ɡri/,Feeling strong displeasure.,怒って,My father was angry with me.,Don't be angry.,She looked angry.
nobody,/ˈnəʊ.bɒd.i/,Not a single person.,誰も～ない,Nobody was at home.,Nobody knows the answer.,She spoke to nobody.
vegetable,/ˈvedʒ.tə.bəl/,A plant used as food.,野菜,I eat vegetables every day.,She likes fresh vegetables.,Green vegetables are healthy.
golf,/ɡɒlf/,A sport where you hit a ball into holes.,ゴルフ,My father plays golf on Sundays.,She likes watching golf.,He is good at golf.
pilot,/ˈpaɪ.lət/,A person who flies an airplane.,パイロット・操縦士,He wants to be a pilot.,The pilot flew the plane safely.,She is a skilled pilot.
vacation,/veɪˈkeɪ.ʃən/,A period of rest from work or school.,休暇,Where did you go on vacation?,Summer vacation is long.,I enjoyed my vacation.
junior,/ˈdʒuː.ni.ər/,Younger or lower in rank.,年少の・下位の,He is a junior high school student.,She is a junior member.,I am in junior high school.
cool,/kuːl/,Pleasantly cold or fashionable.,涼しい・かっこいい,It is cool today.,That is a cool jacket.,The evening air is cool.
boring,/ˈbɔː.rɪŋ/,Not interesting.,退屈な,The movie was boring.,This class is never boring.,She thinks math is boring.
net,/net/,Material made of string tied together with holes.,網・ネット,The ball went into the net.,She caught a butterfly with a net.,The tennis net is too high.
twin,/twɪn/,One of two children born at the same time.,双子,She has a twin sister.,The twins look exactly the same.,They are twin brothers.
monster,/ˈmɒn.stər/,A large scary creature.,怪物,The monster in the story was scary.,She drew a funny monster.,He dressed up as a monster.
ocean,/ˈəʊ.ʃən/,A very large area of sea.,大洋・海,The Pacific Ocean is the largest.,We watched the sun set over the ocean.,Fish live in the ocean.
forever,/fɔːˈev.ər/,For all time.,永遠に・永久に,I will remember this day forever.,Friends forever!,Nothing lasts forever.
coin,/kɔɪn/,A small round piece of metal used as money.,コイン・硬貨,I found a coin on the ground.,She collects old coins.,Put a coin in the machine.
sock,/sɒk/,A soft covering for the foot.,くつ下,I need new socks.,She wore white socks.,My socks are wet.
lamp,/læmp/,A device that gives light.,照明器具・ランプ,Turn on the lamp please.,There is a lamp on the desk.,The lamp is very bright.
pie,/paɪ/,A baked dish with a filling inside pastry.,パイ,I like apple pie.,She baked a cherry pie.,This pie is delicious.
headache,/ˈhed.eɪk/,A pain in the head.,頭痛,I have a headache today.,She went home because of a headache.,Take medicine for your headache.
jeans,/dʒiːnz/,Pants made from strong blue cloth.,ジーンズ,She wore blue jeans.,I like wearing jeans.,These jeans are too tight.
dancer,/ˈdɑːn.sər/,A person who dances.,ダンサー,She is a beautiful dancer.,He wants to be a dancer.,The dancer moved gracefully.
actress,/ˈæk.trəs/,A woman who acts in movies or plays.,女優,She is a famous actress.,The actress won an award.,I want to be an actress.
autumn,/ˈɔː.təm/,The season between summer and winter (British English).,秋（主にイギリス）,Autumn leaves are beautiful.,It is cool in autumn.,I like autumn the best.
playground,/ˈpleɪ.ɡraʊnd/,An outdoor area where children play.,（戸外の）遊び場,The children played on the playground.,The playground has swings.,Let's go to the playground.
cook,/kʊk/,A person who prepares food.,料理人・コック,She is a good cook.,My father is the cook in our family.,The cook made a delicious soup.
scarf,/skɑːf/,A piece of cloth worn around the neck.,マフラー・スカーフ,She wore a warm scarf.,I bought a red scarf.,Put on your scarf.
colored pencil,/ˈkʌl.əd ˈpen.sɪl/,A pencil with colored lead for drawing.,色えんぴつ,She drew a picture with colored pencils.,I have twelve colored pencils.,Can I borrow your colored pencil?
neighborhood,/ˈneɪ.bər.hʊd/,The area where you live.,近所・近隣,Our neighborhood is very quiet.,I walk around the neighborhood.,She knows everyone in the neighborhood.
contest,/ˈkɒn.test/,A competition to find the best person.,コンテスト・競技（会）,She entered the speech contest.,Who won the contest?,The cooking contest was fun.
performance,/pəˈfɔː.məns/,An act of doing something in front of people.,上演・演技,The performance was wonderful.,She gave a great performance.,We enjoyed the music performance.
recipe,/ˈres.ɪ.pi/,Instructions for cooking a dish.,レシピ・料理法,She found a good recipe online.,This is my grandmother's recipe.,Can you share the recipe?
taste,/teɪst/,The flavor of food or drink.,味・味がする,This soup has a good taste.,Can you taste the salt?,It tastes sweet.
polite,/pəˈlaɪt/,Having good manners.,礼儀正しい,She is a very polite girl.,Be polite to older people.,He gave a polite answer.
sign,/saɪn/,A board or mark that gives information.,標識・看板,Follow the signs to the exit.,The sign says "No Parking.",She put a sign on the door.
memory,/ˈmem.ər.i/,The ability to remember things.,記憶,I have happy memories of summer.,She has a good memory.,This is my best memory.
introduce,/ˌɪn.trəˈdjuːs/,To tell people each other's names.,紹介する,Let me introduce myself.,She introduced her friend to me.,Please introduce yourself.
experience,/ɪkˈspɪə.ri.əns/,Something that happens to you.,経験,It was a great experience.,She has a lot of experience.,I want to have new experiences.
opinion,/əˈpɪn.jən/,What you think about something.,意見,What is your opinion?,Everyone has a different opinion.,I respect your opinion.
do well,/duː wel/,To perform or succeed.,良くやる,She did well on the test.,I hope you do well.,He always does well in sports.
cram school,/kræm skuːl/,A school for extra study after regular school.,塾・予備校,I go to cram school on Mondays.,Many students go to cram school.,She studies math at cram school.
sleepy,/ˈsliː.pi/,Feeling the need to sleep.,ねむい,I am very sleepy today.,She looks sleepy in class.,The baby is getting sleepy.
between,/bɪˈtwiːn/,In the space separating two things.,（二つの物）のあいだ,I sat between my friends.,The park is between the school and the station.,Choose between the two.
schoolyard,/ˈskuːl.jɑːd/,The open area around a school.,運動場・校庭,The children are playing in the schoolyard.,We run in the schoolyard.,The schoolyard is very large.
help,/help/,To make it easier for someone to do something.,手伝う・助ける,Can you help me please?,She helped her mother cook.,I will help you with your homework.
go on a trip,/ɡəʊ ɒn ə trɪp/,To take a journey.,旅行に行く,We are going on a trip next week.,She went on a trip to Osaka.,Let's go on a trip this summer.
through,/θruː/,From one side to the other.,～を通り抜けて,We walked through the park.,The train goes through a tunnel.,She looked through the window.
when,/wen/,At what time or during the time that.,～するとき,When is your birthday?,I was happy when I heard the news.,When I was young I played a lot.
cloudy,/ˈklaʊ.di/,Having many clouds in the sky.,くもった,It is cloudy today.,The sky was cloudy all morning.,It will be cloudy tomorrow.
during,/ˈdjʊə.rɪŋ/,Throughout a period of time.,～の間に,I fell asleep during the movie.,She reads during lunch break.,We traveled during summer vacation.
host family,/həʊst ˈfæm.ə.li/,A family that takes care of a guest in their home.,ホストファミリー,My host family was very kind.,She stayed with a host family.,I wrote a letter to my host family.
just a minute,/dʒʌst ə ˈmɪn.ɪt/,Please wait a short time.,ちょっと待ってください,Just a minute! I am coming.,Just a minute please.,Just a minute I need to check.
have a seat,/hæv ə siːt/,To sit down.,座る・着席する,Please have a seat.,Have a seat and wait here.,She had a seat near the window.
keep,/kiːp/,To continue doing something or to hold on to.,（状態を）続ける・保つ,Keep trying!,She keeps her room clean.,Keep this book for me please.
have got,/hæv ɡɒt/,To own or possess something.,持っている・ある,I have got two brothers.,She has got a new bag.,Have you got a pencil?
daily,/ˈdeɪ.li/,Happening every day.,毎日の,Reading is my daily habit.,She takes a daily walk.,I check the daily news.
must,/mʌst/,Required to do something or very likely.,～に違いない・～なければならない,You must study hard.,She must be at school now.,I must finish my homework.
medium,/ˈmiː.di.əm/,Between small and large.,中間の・中位の,I would like a medium pizza.,She wears a medium size.,The coffee is medium sweet.
plant,/plɑːnt/,To put seeds in the ground to grow.,植える・（種を）まく,I planted flowers in the garden.,She plants vegetables every spring.,Let's plant a tree.
snack,/snæk/,A small meal eaten between main meals.,おやつ・軽食,I had a snack after school.,She likes healthy snacks.,Would you like a snack?
elementary school,/ˌel.ɪˈmen.tər.i skuːl/,A school for young children.,（米）小学校,I went to the local elementary school.,She is an elementary school student.,My brother is still in elementary school.
without,/wɪˈðaʊt/,Not having or not with.,～なしで・～抜きで,I went to school without breakfast.,She left without saying goodbye.,I cannot live without music.
(be) famous for,/biː ˈfeɪ.məs fɔːr/,To be well known for something.,～で有名である,Kyoto is famous for its temples.,She is famous for her singing.,Japan is famous for sushi.
moment,/ˈməʊ.mənt/,A very short period of time.,わずかの間・一瞬,Please wait a moment.,She paused for a moment.,I will be back in a moment.
maybe,/ˈmeɪ.bi/,Possibly but not certainly.,もしかすると・多分,Maybe it will rain tomorrow.,Maybe she is at the library.,I will maybe go to the party.
perhaps,/pəˈhæps/,It is possible that.,おそらく,Perhaps she is busy.,Perhaps it will snow tonight.,Perhaps we should leave now.
next time,/nekst taɪm/,On the occasion after this.,次に・次回,Let's try again next time.,I will do better next time.,See you next time!
(be) going to,/biː ˈɡəʊ.ɪŋ tuː/,Planning to do something in the future.,～する予定だ,I am going to study tonight.,She is going to visit Tokyo.,We are going to have a test tomorrow.
good idea,/ɡʊd aɪˈdɪə/,A thought that is useful or smart.,いい考え,That is a good idea!,Going to the park is a good idea.,She had a good idea.
a cup of,/ə kʌp ɒv/,One cup filled with something.,カップ一杯の～,I had a cup of tea.,Would you like a cup of coffee?,She poured a cup of milk.
anything,/ˈen.i.θɪŋ/,Any thing at all.,（疑問文）何か・（否定文）何も・（肯定文）何でも,Do you need anything?,I don't want anything.,You can eat anything you like.
anybody,/ˈen.i.bɒd.i/,Any person at all.,（疑問文）だれか・（否定文）だれも・（肯定文）だれでも,Does anybody know the answer?,I don't know anybody here.,Anybody can join the club.
most,/məʊst/,The greatest in number or amount.,もっとも多い・ほとんどの,Most students like this class.,She is the most popular girl.,I spend most of my time studying.
many kinds of,/ˈmen.i kaɪndz ɒv/,A large number of different types.,多くの種類の～,There are many kinds of fish here.,She reads many kinds of books.,We ate many kinds of food.
a kind of,/ə kaɪnd ɒv/,A type of.,一種の～,Sushi is a kind of Japanese food.,This is a kind of flower.,A guitar is a kind of instrument.
a glass of,/ə ɡlɑːs ɒv/,One glass filled with something.,コップ・グラス1杯の～,Can I have a glass of water?,She drank a glass of milk.,I poured a glass of juice.
saucer,/ˈsɔː.sər/,A small plate that goes under a cup.,（カップなどの）受け皿,She put the cup on the saucer.,The saucer matches the teacup.,I broke the saucer by accident.
dining room,/ˈdaɪ.nɪŋ ruːm/,A room where meals are eaten.,食堂・ダイニングルーム,We eat dinner in the dining room.,The dining room has a big table.,The family gathered in the dining room.
dryer,/ˈdraɪ.ər/,A machine used for drying clothes or hair.,乾燥機,Put the clothes in the dryer.,She used a hair dryer.,The dryer is very noisy.
block,/blɒk/,A section of a city between streets.,町の1区画・ブロック,The store is two blocks away.,I walked around the block.,She lives one block from school.
overcoat,/ˈəʊ.və.kəʊt/,A long warm coat worn over other clothes.,オーバーコート,He wore a thick overcoat.,Put on your overcoat.,The overcoat kept him warm.
reporter,/rɪˈpɔː.tər/,A person who writes news stories.,リポーター・報告者,The reporter asked many questions.,She wants to be a reporter.,The reporter wrote about the festival.
chance,/tʃɑːns/,An opportunity to do something.,機会・偶然,I had the chance to meet a famous singer.,Give me a chance to explain.,This is your last chance.
comic,/ˈkɒm.ɪk/,A book or magazine with stories told in pictures.,まんが,I like reading comics.,She bought a new comic book.,Japanese comics are popular.
sale,/seɪl/,The act of selling or a time when things cost less.,販売・セール,The shoes are on sale.,I bought it at a sale.,Everything is half price at the sale.
snowy,/ˈsnəʊ.i/,Having a lot of snow.,雪の降る・雪の多い,It is a snowy day today.,Hokkaido is snowy in winter.,I love snowy days.
inside,/ɪnˈsaɪd/,In the inner part of something.,室内で・内部に,Let's go inside.,It is warm inside the house.,The cat is inside the box.
go around,/ɡəʊ əˈraʊnd/,To move in a circle or visit various places.,～のまわりを回る,The earth goes around the sun.,We went around the museum.,Let's go around the lake.
get into,/ɡet ˈɪn.tuː/,To enter or go inside.,～に入り込む・～に乗り込む,She got into the car.,I got into the bath.,He got into a good school.
look back at,/lʊk bæk æt/,To turn and look behind or to remember the past.,～を振り返って見る,She looked back at the house.,I like to look back at old photos.,He never looks back at the past.
write back,/raɪt bæk/,To reply to a letter or message.,返事を書く,Please write back soon.,She wrote back the next day.,I will write back to him.
(be) sick in bed,/biː sɪk ɪn bed/,To be in bed because of illness.,病気で寝ている,She was sick in bed all day.,He is sick in bed with a cold.,I was sick in bed yesterday.
all day long,/ɔːl deɪ lɒŋ/,For the entire day.,１日中,It rained all day long.,She studied all day long.,We played all day long.
all year round,/ɔːl jɪər raʊnd/,During the whole year.,１年中・１年を通して,This pool is open all year round.,It is warm here all year round.,She exercises all year round.
in those days,/ɪn ðəʊz deɪz/,At that time in the past.,あのころは・当時は,In those days there were no smartphones.,Life was simple in those days.,She was a student in those days.
at that time,/æt ðæt taɪm/,At that particular moment.,あの時・その時,I was at home at that time.,She was only five at that time.,What were you doing at that time?
just then,/dʒʌst ðen/,At that exact moment.,ちょうどそのとき,Just then the phone rang.,Just then the teacher came in.,I was leaving and just then it rained.
again and again,/əˈɡen ənd əˈɡen/,Many times repeatedly.,何度もくり返して,She read the poem again and again.,He tried again and again.,I watched the video again and again.
all over,/ɔːl ˈəʊ.vər/,Everywhere in a place.,（場所）中,He traveled all over Japan.,Flowers are blooming all over the park.,She looked all over for her key.
go away,/ɡəʊ əˈweɪ/,To leave or go to another place.,よそへ行く・遠くへ行く,Please go away.,The pain will go away soon.,She went away for the weekend.
come back,/kʌm bæk/,To return to a place.,戻ってくる・帰ってくる,When will you come back?,She came back from London.,Come back soon!
write down,/raɪt daʊn/,To write something on paper.,書き留める・記録する,Please write down the address.,She wrote down the answer.,I wrote down his phone number.
say hello to,/seɪ həˈləʊ tuː/,To greet someone.,～によろしく言う,Please say hello to your mother.,Say hello to everyone for me.,She said hello to the teacher.
one-way,/wʌn weɪ/,Going in only one direction.,片道の・一方通行の,I bought a one-way ticket.,This is a one-way street.,A one-way ticket is cheaper.
take a message,/teɪk ə ˈmes.ɪdʒ/,To write down information for someone.,伝言を預かる,Can you take a message for me?,She took a message from the caller.,Please take a message.
behind,/bɪˈhaɪnd/,At the back of something.,～の後ろに,The cat is behind the sofa.,She hid behind the door.,The garden is behind the house.
nothing,/ˈnʌθ.ɪŋ/,Not anything at all.,なにも～ない,There is nothing in the box.,I have nothing to do today.,Nothing happened yesterday.
e-mail,/ˈiː.meɪl/,A message sent using the internet.,電子メール・Eメール,I sent an e-mail to my friend.,She checks her e-mail every morning.,Did you get my e-mail?
type,/taɪp/,A group of things that are similar.,タイプ・種類,What type of music do you like?,This is a new type of phone.,There are many types of flowers.
above,/əˈbʌv/,In a higher position than something.,～の上に・～より上に,The clock is above the door.,Birds flew above the trees.,The temperature was above 30 degrees.
junior high school,/ˈdʒuː.ni.ər haɪ skuːl/,A school between elementary school and high school.,（米）中学校,I go to junior high school.,She is a junior high school student.,Junior high school is fun.
field trip,/fiːld trɪp/,A trip to learn something outside school.,遠足・社会見学,We went on a field trip to the museum.,The field trip was very fun.,Our class has a field trip next week.
this morning,/ðɪs ˈmɔː.nɪŋ/,During the morning of today.,今朝,I ate toast this morning.,She left early this morning.,It rained this morning.
court,/kɔːt/,An area for playing sports.,（スポーツの）コート,Let's play on the tennis court.,The basketball court is outside.,She practiced on the court.
rent,/rent/,To pay money to use something for a time.,賃借する・賃貸する,We rented a car for the trip.,She rents an apartment near the station.,How much is the rent?
bowling,/ˈbəʊ.lɪŋ/,A sport where you roll a ball to knock down pins.,ボウリング,Let's go bowling this weekend.,She is good at bowling.,Bowling is a fun sport.
skier,/ˈskiː.ər/,A person who skis.,スキーをする人・スキーヤー,She is a skilled skier.,The skier went down the mountain.,Many skiers come here in winter.
arena,/əˈriː.nə/,A large area for sports or events.,試合場・競技場,The arena was full of fans.,We watched a concert at the arena.,The new arena is very large.
else,/els/,Other or different.,他に・それ以外の,What else do you need?,Who else is coming?,Is there anything else?
over,/ˈəʊ.vər/,Finished or ended.,終わった・済んだ,The game is over.,Winter is almost over.,The meeting is over now.
how about,/haʊ əˈbaʊt/,Used to make a suggestion.,～はどうですか,How about some tea?,How about going to the park?,How about this one?
on one's way home,/ɒn wʌnz weɪ həʊm/,While going home.,家に帰る途中で,I bought milk on my way home.,She met a friend on her way home.,I found a cat on my way home.
would like to,/wʊd laɪk tuː/,A polite way to say you want to do something.,～したい・～したいのですが,I would like to order a drink.,She would like to visit London.,Would you like to come with us?
on vacation,/ɒn veɪˈkeɪ.ʃən/,Taking a holiday from work or school.,休暇で・休暇を取って,My family is on vacation.,She is on vacation in Hawaii.,He went on vacation last week.
go out of,/ɡəʊ aʊt ɒv/,To leave a place.,～から出る・～から出ていく,She went out of the room.,The cat went out of the house.,Please go out of the building.
stay at,/steɪ æt/,To live temporarily at a place.,～に滞在する・～に泊まる,We stayed at a nice hotel.,She stayed at her friend's house.,Where did you stay at?
on the way to,/ɒn ðə weɪ tuː/,While going somewhere.,～へ行く途中,I saw a rainbow on the way to school.,She stopped at a shop on the way to the station.,We got lost on the way to the museum.
all over the world,/ɔːl ˈəʊ.vər ðə wɜːld/,In every part of the world.,世界中で・に,English is spoken all over the world.,People all over the world love music.,She traveled all over the world.
play cards,/pleɪ kɑːdz/,To play a game using cards.,トランプをする,Let's play cards tonight.,We played cards with our friends.,She likes to play cards.
(be) surprised at,/biː sərˈpraɪzd æt/,To feel shock about something.,～に驚く,I was surprised at the news.,She was surprised at the gift.,We were surprised at the result.
thank you for,/θæŋk juː fɔːr/,Used to express thanks for something.,～をありがとう,Thank you for your help.,Thank you for the present.,Thank you for coming today.
on the radio,/ɒn ðə ˈreɪ.di.əʊ/,Being broadcast by radio.,ラジオで,I heard the song on the radio.,She listens to English on the radio.,There was good news on the radio.
in the world,/ɪn ðə wɜːld/,On the earth or for emphasis.,世界で・に,What is the tallest mountain in the world?,She is the best singer in the world.,Where in the world is my key?
